"","fastq_id","sample_ID","site","core","pre_post_thaw","id","reads","gbp","Concentration..ng.ul.","nHE","Included.In.Analysis"
"43","5","AT4_R5_POST_SOIL","CRREL","AT4","post","5",97484840,14.622726,"4.41",865,TRUE
"44","5p","AT4_R5_PRE_SOIL","CRREL","AT4","pre","5",41865224,6.2797836,"1.96",4,FALSE
"45","6","AT4_R6_POST_SOIL","CRREL","AT4","post","6",5080698,0.7621047,"3.23",234,TRUE
"46","6p","AT4_R6_PRE_SOIL","CRREL","AT4","pre","6",58816084,8.8224126,"6.2",14,TRUE
"47","7","AT4_R7_POST_SOIL","CRREL","AT4","post","7",38463082,5.7694623,"1.43",10,TRUE
"48","7p","AT4_R7_PRE_SOIL","CRREL","AT4","pre","7",185503696,27.8255544,"4.55",154,TRUE
"49","8","AT4_R8_POST_SOIL","CRREL","AT4","post","8",78791104,11.8186656,"2.97",1058,TRUE
"50","8p","AT4_R8_PRE_SOIL","CRREL","AT4","pre","8",14411478,2.1617217,"6.76",674,TRUE
"51","9","FL1C4_R5_POST_SOIL","FL","FL1C4","post","9",6417872,0.9626808,"22.4",312,TRUE
"52","9p","FL1C4_R5_PRE_SOIL","FL","FL1C4","pre","9",130962480,19.644372,"45.7",1143,TRUE
